full_name,fighter_id,fighter_nickname,fighter_height_cm,fighter_weight_lbs,fighter_reach_cm,fighter_stance,fighter_dob,fighter_w,fighter_l,fighter_d,fighter_nc_dq,fighter_url,weight_class,total_fights,win_rate
Dricus Du Plessis,3163,Stillknocks,185.42,185.0,193.04,Switch,1994-01-14,20,2,0,,http://ufcstats.com/fighter-details/0d7b51c9d2649a6e,Middleweight,22,0.9090909090909091
Emily Ducote,3159,Gordinha,157.48000000000002,115.0,160.02,Orthodox,1994-01-01,12,8,0,,http://ufcstats.com/fighter-details/02f8fedc18cbd26c,Flyweight,20,0.6
Joe Duffy,3154,Irish,177.8,155.0,185.42,Orthodox,1988-02-18,16,5,0,,http://ufcstats.com/fighter-details/654ae722109a0d31,Lightweight,21,0.7619047619047619
Jessamyn Duke,3152,The Gun,180.34,135.0,185.42,Orthodox,1986-06-24,3,5,0,1.0,http://ufcstats.com/fighter-details/a7ddae0be8b78147,Bantamweight,8,0.375
Isaac Dulgarian,3151,The Midwest Choppa,170.18,145.0,180.34,Orthodox,1996-07-04,6,0,0,,http://ufcstats.com/fighter-details/a57cb948c4c70a47,Featherweight,6,1.0
Sedriques Dumas,3149,The Reaper,187.96,185.0,200.66,Orthodox,1995-08-06,8,1,0,,http://ufcstats.com/fighter-details/4e6738062d469256,Middleweight,9,0.8888888888888888
Norma Dumont,3148,The Immortal,170.18,145.0,170.18,Orthodox,1990-10-01,10,2,0,,http://ufcstats.com/fighter-details/d3f5d33d61cd00c9,Featherweight,12,0.8333333333333334
Chris Duncan,3147,The Problem,177.8,155.0,180.34,Orthodox,1993-05-10,11,1,0,,http://ufcstats.com/fighter-details/fd406a32a6fb3a29,Lightweight,12,0.9166666666666666
Christian Leroy Duncan,3146,CLD,187.96,185.0,200.66,Switch,1995-07-24,8,1,0,,http://ufcstats.com/fighter-details/a93f94c923c3a9cb,Middleweight,9,0.8888888888888888
Tom Duquesnoy,3143,Fire Kid,170.18,135.0,172.72,Orthodox,1993-06-21,16,2,0,1.0,http://ufcstats.com/fighter-details/e979c76341f19b22,Bantamweight,18,0.8888888888888888
Merab Dvalishvili,3136,The Machine,167.64,135.0,172.72,Orthodox,1991-01-10,16,4,0,,http://ufcstats.com/fighter-details/c03520b5c88ed6b4,Bantamweight,20,0.8
David Dvorak,3135,Undertaker,165.1,125.0,172.72,Orthodox,1992-06-05,20,6,0,,http://ufcstats.com/fighter-details/9ada30894bf04e19,Flyweight,26,0.7692307692307693
Rolando Dy,3133,Dy Incredible,172.72,145.0,175.26,Orthodox,1990-08-11,9,7,1,1.0,http://ufcstats.com/fighter-details/55ed59d541f8b90c,Featherweight,17,0.5294117647058824
Marvin Eastman,3130,The Beastman,175.26,185.0,185.42,Orthodox,1971-06-08,18,15,1,,http://ufcstats.com/fighter-details/05866d8c3a321856,Middleweight,34,0.5294117647058824
Mike Easton,3129,The Hulk,167.64,135.0,177.8,Southpaw,1984-01-25,13,6,0,,http://ufcstats.com/fighter-details/bc7230f231701d66,Bantamweight,19,0.6842105263157895
Brian Ebersole,3125,Bad Boy,182.88,170.0,185.42,Southpaw,1980-11-27,51,18,1,1.0,http://ufcstats.com/fighter-details/32ba186f4b0e3267,Welterweight,70,0.7285714285714285
Roybert Echeverria,3124,The Unbroken,165.1,125.0,170.18,Switch,1995-08-21,7,1,0,,http://ufcstats.com/fighter-details/20b13e96668caaa4,Flyweight,8,0.875
Frankie Edgar,3122,The Answer,167.64,135.0,172.72,Orthodox,1981-10-16,23,11,1,,http://ufcstats.com/fighter-details/f2688492b9a525a3,Bantamweight,35,0.6571428571428571
Justin Edwards,3118,Fast Eddy,177.8,155.0,177.8,Orthodox,1983-01-26,9,5,0,,http://ufcstats.com/fighter-details/e56daf7725a0b5ab,Lightweight,14,0.6428571428571429
Leon Edwards,3117,Rocky,187.96,170.0,187.96,Southpaw,1991-08-25,21,3,0,1.0,http://ufcstats.com/fighter-details/f1fac969a1d70b08,Welterweight,24,0.875
Joselyne Edwards,3114,La Pantera,172.72,135.0,177.8,Orthodox,1995-09-29,13,5,0,,http://ufcstats.com/fighter-details/f9ab66e67240db7b,Bantamweight,18,0.7222222222222222
Evan Elder,3107,The Phenom,177.8,155.0,182.88,Switch,1997-04-11,8,2,0,,http://ufcstats.com/fighter-details/d9a56ecb6e94f02e,Lightweight,10,0.8
Joao Elias,3105,Alicate,160.02,125.0,162.56,Southpaw,1995-01-08,17,4,1,1.0,http://ufcstats.com/fighter-details/1a064688481f66e1,Flyweight,22,0.7727272727272727
Darren Elkins,3103,The Damage,177.8,145.0,180.34,Orthodox,1984-05-16,27,11,0,,http://ufcstats.com/fighter-details/92a9aa9c93192871,Featherweight,38,0.7105263157894737
Jake Ellenberger,3102,The Juggernaut,175.26,170.0,180.34,Orthodox,1985-03-28,31,15,0,,http://ufcstats.com/fighter-details/d81ac739417d7f53,Welterweight,46,0.6739130434782609
Joe Ellenberger,3101,Excalibur,175.26,155.0,182.88,Orthodox,1985-03-28,15,2,0,,http://ufcstats.com/fighter-details/8e8e4487c621aa1c,Lightweight,17,0.8823529411764706
Oban Elliott,3099,The Welsh Gangster,182.88,170.0,182.88,Orthodox,1997-12-19,9,2,0,,http://ufcstats.com/fighter-details/6b56e94a59b7b134,Welterweight,11,0.8181818181818182
Cameron Else,3095,Camchida,175.26,135.0,180.34,Switch,1987-04-27,10,6,0,,http://ufcstats.com/fighter-details/5f3da9a9610d8969,Bantamweight,16,0.625
Ramazan Emeev,3092,Gorets,177.8,170.0,193.04,Southpaw,1987-05-23,20,6,0,,http://ufcstats.com/fighter-details/abd5fb12437eda21,Welterweight,26,0.7692307692307693
Fedor Emelianenko,3090,The Last Emperor,182.88,230.0,187.96,Orthodox,1976-09-28,36,5,0,1.0,http://ufcstats.com/fighter-details/b8da6f5c80ae2d15,Heavyweight,41,0.8780487804878049
Rob Emerson,3089,The Saint,175.26,155.0,177.8,Orthodox,1981-07-30,18,12,0,1.0,http://ufcstats.com/fighter-details/dc0f07928009a127,Lightweight,30,0.6
Jamall Emmers,3088,Pretty Boy,177.8,145.0,187.96,Orthodox,1989-07-24,19,7,0,,http://ufcstats.com/fighter-details/e00a3dee329a51f7,Featherweight,26,0.7307692307692307
Josh Emmett,3087,CC0,167.64,145.0,177.8,Orthodox,1985-03-04,18,4,0,,http://ufcstats.com/fighter-details/fba03cd6cc28dc41,Featherweight,22,0.8181818181818182
Kolton Englund,3084,White Assassin,177.8,155.0,175.26,Orthodox,1993-07-09,9,4,0,,http://ufcstats.com/fighter-details/4122da4f791b2f4f,Lightweight,13,0.6923076923076923
Andy Enz,3079,Tank Mode,190.5,185.0,198.12,Orthodox,1991-08-15,10,4,0,,http://ufcstats.com/fighter-details/993d385f5a475375,Middleweight,14,0.7142857142857143
Steve Erceg,3076,Astroboy,172.72,125.0,172.72,Orthodox,1995-07-27,10,1,0,,http://ufcstats.com/fighter-details/32ab52e5de93092d,Flyweight,11,0.9090909090909091
Julian Erosa,3073,Juicy J,185.42,145.0,187.96,Southpaw,1989-07-31,28,12,0,,http://ufcstats.com/fighter-details/902ec2cc48c8ae8a,Featherweight,40,0.7
Cole Escovedo,3066,Apache Kid,170.18,135.0,182.88,Orthodox,1981-08-30,17,9,0,,http://ufcstats.com/fighter-details/5df17b3620145578,Bantamweight,26,0.6538461538461539
Efrain Escudero,3065,Hecho En Mexico,175.26,155.0,180.34,Orthodox,1986-01-15,28,12,0,,http://ufcstats.com/fighter-details/83fd97284f4bb4a4,Lightweight,40,0.7
Carla Esparza,3063,Cookie Monster,154.94,115.0,160.02,Orthodox,1987-10-10,20,7,0,,http://ufcstats.com/fighter-details/d910665038efc639,Flyweight,27,0.7407407407407407
Juan Espino,3062,El Guapo,190.5,255.0,203.2,Orthodox,1980-10-09,11,2,0,,http://ufcstats.com/fighter-details/ccf5dc41417e9daf,Heavyweight,13,0.8461538461538461
Jordan Espinosa,3061,The Gamer,167.64,125.0,175.26,Orthodox,1989-11-08,15,9,0,1.0,http://ufcstats.com/fighter-details/215a70f073a7b726,Flyweight,24,0.625
Rafael Estevam,3059,Macapa,172.72,125.0,175.26,Orthodox,1996-08-10,11,0,0,,http://ufcstats.com/fighter-details/83455a9d17f57dae,Flyweight,11,1.0
Shaun Etchell,3057,The Buzzsaw,170.18,125.0,172.72,Switch,1993-08-05,7,3,0,,http://ufcstats.com/fighter-details/ea9bfe9c25037bba,Flyweight,10,0.7
Sijara Eubanks,3053,SarJ,162.56,125.0,170.18,Orthodox,1985-04-27,8,7,0,,http://ufcstats.com/fighter-details/4234f0097c83fa62,Flyweight,15,0.5333333333333333
Rashad Evans,3051,Suga,182.88,205.0,190.5,Orthodox,1979-09-25,19,8,1,,http://ufcstats.com/fighter-details/ee779c43a8926d52,Light Heavyweight,28,0.6785714285714286
Ashlee Evans-Smith,3049,Rebel Girl,172.72,135.0,170.18,Orthodox,1987-07-09,6,6,0,,http://ufcstats.com/fighter-details/fc6e681bf6658faf,Bantamweight,12,0.5
Tonya Evinger,3047,Triple Threat,170.18,135.0,177.8,Orthodox,1981-06-04,19,8,0,1.0,http://ufcstats.com/fighter-details/b12a1d19ee383b7c,Bantamweight,27,0.7037037037037037
Andre Ewell,3045,Mr. Highlight,172.72,145.0,190.5,Southpaw,1988-01-21,17,9,0,,http://ufcstats.com/fighter-details/5f6f049d54728e88,Featherweight,26,0.6538461538461539
Jessica Eye,3043,Evil,167.64,125.0,167.64,Orthodox,1986-07-27,15,11,0,1.0,http://ufcstats.com/fighter-details/f72465a784c1b084,Flyweight,26,0.5769230769230769
Urijah Faber,3041,The California Kid,167.64,135.0,170.18,Orthodox,1979-05-14,35,11,0,,http://ufcstats.com/fighter-details/78114b7199cef90c,Bantamweight,46,0.7608695652173914
Wagnney Fabiano,3039,The Silencer,167.64,145.0,175.26,Southpaw,1975-07-14,16,4,0,,http://ufcstats.com/fighter-details/40389d39a92f5bfa,Featherweight,20,0.8
Bartosz Fabinski,3038,The Butcher,182.88,170.0,190.5,Orthodox,1986-04-26,15,5,0,,http://ufcstats.com/fighter-details/e17ac6410c8377f4,Welterweight,20,0.75
Zarah Fairn,3035,Infinite,172.72,135.0,182.88,Orthodox,1983-12-10,6,6,0,,http://ufcstats.com/fighter-details/862b0b3375aa4b6e,Bantamweight,12,0.5
Rinat Fakhretdinov,3034,Gladiator,182.88,170.0,187.96,Orthodox,1991-09-28,21,1,0,,http://ufcstats.com/fighter-details/8f765fd5775a8873,Welterweight,22,0.9545454545454546
Pedro Falcao,3032,Pedrinho,167.64,135.0,167.64,Orthodox,1992-07-30,15,3,0,,http://ufcstats.com/fighter-details/f7be1db194e03d7e,Bantamweight,18,0.8333333333333334
Rico Farrington,3026,The Triggerman,193.04,170.0,200.66,Southpaw,1989-06-19,7,3,0,,http://ufcstats.com/fighter-details/f89e6e66b9b112de,Welterweight,10,0.7
Paul Felder,3023,The Irish Dragon,180.34,155.0,177.8,Orthodox,1984-04-25,17,6,0,,http://ufcstats.com/fighter-details/e5010b1b94ca5755,Lightweight,23,0.7391304347826086
Carlos Felipe,3022,Boi,182.88,245.0,190.5,Orthodox,1995-01-12,11,2,0,,http://ufcstats.com/fighter-details/a2ea77e974c5889f,Heavyweight,13,0.8461538461538461
Kevin Ferguson,3019,Kimbo Slice,187.96,235.0,195.58,Orthodox,1974-02-08,5,2,0,1.0,http://ufcstats.com/fighter-details/27541033b97c076d,Heavyweight,7,0.7142857142857143
Tony Ferguson,3017,El Cucuy,180.34,155.0,193.04,Orthodox,1984-02-12,26,9,0,,http://ufcstats.com/fighter-details/22a92d7f62195791,Lightweight,35,0.7428571428571429
Gabriella Fernandes,3013,Gabi,167.64,125.0,167.64,Southpaw,1993-08-13,8,3,0,,http://ufcstats.com/fighter-details/a6eb54ae17a551be,Flyweight,11,0.7272727272727273
Cezar Ferreira,3008,Mutante,185.42,185.0,198.12,Southpaw,1985-02-15,13,8,0,,http://ufcstats.com/fighter-details/dbc17725b887860a,Middleweight,21,0.6190476190476191
Erisson Ferreira,3006,Gato,167.64,125.0,177.8,Orthodox,1991-05-03,12,2,0,,http://ufcstats.com/fighter-details/1c2a8915f8431507,Flyweight,14,0.8571428571428571
Brunno Ferreira,3005,The Hulk,177.8,185.0,182.88,Orthodox,1992-11-04,10,1,0,,http://ufcstats.com/fighter-details/1e719d4b676dc19a,Middleweight,11,0.9090909090909091
Drew Fickett,3001,The Master,177.8,155.0,177.8,Orthodox,1979-12-14,42,21,0,,http://ufcstats.com/fighter-details/d814f5192e58fb2f,Lightweight,63,0.6666666666666666
Michal Figlak,2998,Mad Dog,177.8,155.0,177.8,Orthodox,1996-08-15,8,1,0,,http://ufcstats.com/fighter-details/b4c57a8c2b773e82,Lightweight,9,0.8888888888888888
Deiveson Figueiredo,2997,Deus da Guerra,165.1,125.0,172.72,Orthodox,1987-12-18,21,3,1,,http://ufcstats.com/fighter-details/aa72b0f831d0bfe5,Flyweight,25,0.84
Francisco Figueiredo,2996,Sniper,167.64,125.0,172.72,Southpaw,1989-10-23,13,5,1,1.0,http://ufcstats.com/fighter-details/cdadae5363b66eef,Flyweight,19,0.6842105263157895
Edwin Figueroa,2994,El Feroz,170.18,135.0,175.26,Orthodox,1984-07-31,9,5,0,,http://ufcstats.com/fighter-details/bbfca6d5c27d9cd8,Bantamweight,14,0.6428571428571429
Jafel Filho,2992,Pastor,170.18,125.0,172.72,Orthodox,1993-05-05,15,3,0,,http://ufcstats.com/fighter-details/65adf3856c4d9256,Flyweight,18,0.8333333333333334
Andre Fili,2991,Touchy,180.34,145.0,187.96,Orthodox,1990-06-25,22,10,0,1.0,http://ufcstats.com/fighter-details/8fd808923cffff82,Featherweight,32,0.6875
Mirko Filipovic,2990,Cro Cop,187.96,230.0,185.42,Southpaw,1974-09-10,35,11,2,1.0,http://ufcstats.com/fighter-details/c32fb8c0f6471a4d,Heavyweight,48,0.7291666666666666
Manon Fiorot,2983,The Beast,170.18,125.0,165.1,Orthodox,1990-02-17,11,1,0,,http://ufcstats.com/fighter-details/34ff304266360297,Flyweight,12,0.9166666666666666
Spencer Fisher,2981,The King,170.18,155.0,172.72,Southpaw,1976-05-09,24,9,0,,http://ufcstats.com/fighter-details/f34312c2ccfa0e00,Lightweight,33,0.7272727272727273
Rafael Fiziev,2976,Ataman,172.72,155.0,180.34,Switch,1993-03-05,12,3,0,,http://ufcstats.com/fighter-details/c814b4c899793af6,Lightweight,15,0.8
AJ Fletcher,2974,The Ghost,177.8,170.0,170.18,Switch,1997-02-18,10,3,0,,http://ufcstats.com/fighter-details/725b1abc9a39d873,Welterweight,13,0.7692307692307693
Jimmy Flick,2973,The Brick,170.18,125.0,172.72,Orthodox,1990-09-07,16,7,0,,http://ufcstats.com/fighter-details/09e62c450e754913,Flyweight,23,0.6956521739130435
Ty Flores,2971,Big Medicine,190.5,205.0,185.42,Switch,1993-12-22,7,3,0,,http://ufcstats.com/fighter-details/4bb0f74d5e26f89a,Light Heavyweight,10,0.7
Alejandro Flores,2970,El Gallito,177.8,145.0,185.42,Orthodox,1991-08-06,17,3,0,,http://ufcstats.com/fighter-details/d23d5960ac5e117c,Featherweight,20,0.85
Kenny Florian,2969,KenFlo,177.8,145.0,187.96,Southpaw,1976-05-26,14,6,0,,http://ufcstats.com/fighter-details/cb139171ed1b69fe,Featherweight,20,0.7
Darrius Flowers,2968,Beast Mode,175.26,170.0,180.34,Orthodox,1994-08-25,12,6,1,,http://ufcstats.com/fighter-details/65db4065e2bc107d,Welterweight,19,0.631578947368421
Caros Fodor,2965,The Future,175.26,155.0,187.96,Orthodox,1984-01-07,11,6,0,,http://ufcstats.com/fighter-details/01d2ed8c502e3828,Lightweight,17,0.6470588235294118
Jesse Forbes,2959,Kid Hercules,187.96,185.0,190.5,Southpaw,1984-10-24,15,5,0,,http://ufcstats.com/fighter-details/947eccadb72f4f6f,Middleweight,20,0.75
Raheam Forest,2956,Rambo,180.34,170.0,185.42,Switch,1997-07-11,7,2,0,,http://ufcstats.com/fighter-details/90390dd1b0791e7f,Welterweight,9,0.7777777777777778
Brianna Fortino,2953,The Bull,152.4,115.0,157.48,Southpaw,1993-08-04,9,3,0,,http://ufcstats.com/fighter-details/b53c46f613f6f248,Flyweight,12,0.75
Brian Foster,2951,The Foster Boy,175.26,170.0,180.34,Orthodox,1984-04-03,27,10,0,,http://ufcstats.com/fighter-details/3dc3022232b79c7a,Welterweight,37,0.7297297297297297
Glaico Franca Moreira,2946,Nego,182.88,155.0,195.58,Orthodox,1991-02-28,15,5,0,,http://ufcstats.com/fighter-details/00a3ff40c4b2cf21,Lightweight,20,0.75
Rich Franklin,2943,Ace,185.42,185.0,193.04,Southpaw,1974-10-05,29,7,0,1.0,http://ufcstats.com/fighter-details/d897897060f10a3a,Middleweight,36,0.8055555555555556
Stephanie Frausto,2941,Lil Bovy,157.48000000000002,115.0,154.94,Orthodox,1990-09-20,8,7,0,,http://ufcstats.com/fighter-details/fee02819a271c050,Flyweight,15,0.5333333333333333
Justin Frazier,2938,The Grizzly Bear,182.88,265.0,190.5,Southpaw,1989-06-15,10,3,0,,http://ufcstats.com/fighter-details/78863e4a28204a6b,Heavyweight,13,0.7692307692307693
Matt Frevola,2926,The SteamRolla,175.26,155.0,180.34,Orthodox,1990-06-11,11,3,1,,http://ufcstats.com/fighter-details/dccb63727f2f5f74,Lightweight,15,0.7333333333333333
Sarah Frota,2923,A Treta,167.64,125.0,175.26,Southpaw,1987-04-14,9,2,0,,http://ufcstats.com/fighter-details/1641ef250e9de19b,Flyweight,11,0.8181818181818182
Masio Fullen,2913,Lobo,177.8,145.0,177.8,Orthodox,1986-10-06,11,7,0,,http://ufcstats.com/fighter-details/4638cc6479cc0afe,Featherweight,18,0.6111111111111112
Ricardo Funch,2909,Golden Boy,177.8,170.0,187.96,Southpaw,1980-08-14,9,6,0,,http://ufcstats.com/fighter-details/e9e1acc96536bb4f,Welterweight,15,0.6
Claudia Gadelha,2905,Claudinha,162.56,115.0,160.02,Orthodox,1988-12-07,18,5,0,,http://ufcstats.com/fighter-details/ec34349e7dffcde7,Flyweight,23,0.782608695652174
Justin Gaethje,2902,The Highlight,180.34,155.0,177.8,Orthodox,1988-11-14,25,4,0,,http://ufcstats.com/fighter-details/9e8f6c728eb01124,Lightweight,29,0.8620689655172413
Muin Gafurov,2900,Tajik,170.18,135.0,172.72,Southpaw,1996-05-17,18,5,0,,http://ufcstats.com/fighter-details/a54660deb6a8489c,Bantamweight,23,0.782608695652174
Manvel Gamburyan,2885,The Anvil,165.1,135.0,170.18,Orthodox,1981-05-08,15,10,0,1.0,http://ufcstats.com/fighter-details/cc6f9d1e89f3449a,Bantamweight,25,0.6
Mateusz Gamrot,2884,Gamer,177.8,155.0,177.8,Southpaw,1990-12-11,23,2,0,1.0,http://ufcstats.com/fighter-details/72db2a14ffa73ece,Lightweight,25,0.92
Ciryl Gane,2881,Bon Gamin,193.04,245.0,205.74,Orthodox,1990-04-12,12,2,0,,http://ufcstats.com/fighter-details/787bb1f087ccff8a,Heavyweight,14,0.8571428571428571
Cody Garbrandt,2877,No Love,172.72,135.0,165.1,Orthodox,1991-07-07,13,5,0,,http://ufcstats.com/fighter-details/d8c7c61b176e3994,Bantamweight,18,0.7222222222222222
Leonard Garcia,2876,Bad Boy,177.8,145.0,172.72,Orthodox,1979-07-14,18,13,1,,http://ufcstats.com/fighter-details/917e53fa0adea0d3,Featherweight,32,0.5625
Alex Garcia,2873,The Dominican Nightmare,175.26,170.0,182.88,Orthodox,1987-07-14,15,6,0,,http://ufcstats.com/fighter-details/a2b12c3f3d60ff69,Welterweight,21,0.7142857142857143
Steve Garcia,2871,Mean Machine,182.88,145.0,190.5,Southpaw,1992-05-22,14,5,0,,http://ufcstats.com/fighter-details/97cf1a2c7c5e7889,Featherweight,19,0.7368421052631579
Rafa Garcia,2869,Gifted,170.18,155.0,177.8,Orthodox,1994-08-05,16,3,0,,http://ufcstats.com/fighter-details/e132d47bd9efbbe0,Lightweight,19,0.8421052631578947
Ian Garry,2865,The Future,190.5,170.0,187.96,Orthodox,1997-11-17,13,0,0,,http://ufcstats.com/fighter-details/442c9011034ae1fd,Welterweight,13,1.0
Pablo Garza,2864,The Scarecrow,185.42,145.0,185.42,Orthodox,1983-09-16,12,4,0,,http://ufcstats.com/fighter-details/8e5bfd4e82352340,Featherweight,16,0.75
Louis Gaudinot,2858,Goodnight,160.02,125.0,160.02,Orthodox,1984-08-28,8,4,0,1.0,http://ufcstats.com/fighter-details/b72a60a0cadff408,Flyweight,12,0.6666666666666666
Chad George,2854,Savage,167.64,135.0,172.72,Southpaw,1982-04-30,16,8,0,,http://ufcstats.com/fighter-details/14e797332ea32cdb,Bantamweight,24,0.6666666666666666
Yanis Ghemmouri,2849,The Desert Warrior,175.26,145.0,175.26,Orthodox,1995-01-24,12,2,0,,http://ufcstats.com/fighter-details/eb70e786bbdf1d16,Featherweight,14,0.8571428571428571
Christos Giagos,2846,The Spartan,177.8,155.0,180.34,Orthodox,1990-01-23,20,11,0,,http://ufcstats.com/fighter-details/de45aaae23dfa392,Lightweight,31,0.6451612903225806
Cody Gibson,2840,The Renegade,177.8,135.0,180.34,Orthodox,1987-09-11,20,9,0,,http://ufcstats.com/fighter-details/700a674c042b7a96,Bantamweight,29,0.6896551724137931
Chase Gibson,2839,El Guero,177.8,155.0,182.88,Orthodox,1990-02-07,9,5,0,,http://ufcstats.com/fighter-details/09439946214993bc,Lightweight,14,0.6428571428571429
Thomas Gifford,2837,The Young Lion,185.42,155.0,190.5,Orthodox,1992-07-26,14,9,0,2.0,http://ufcstats.com/fighter-details/e7f51d9f9e9259e7,Lightweight,23,0.6086956521739131
Gregor Gillespie,2831,The Gift,170.18,155.0,180.34,Orthodox,1986-11-13,14,1,0,,http://ufcstats.com/fighter-details/84ff027394f7e470,Lightweight,15,0.9333333333333333
Micheal Gillmore,2829,The Gentleman,180.34,170.0,182.88,Orthodox,1987-03-28,6,5,0,,http://ufcstats.com/fighter-details/ce175eaafe867d1f,Welterweight,11,0.5454545454545454
Eperaim Ginting,2825,The Wolfman,162.56,135.0,162.56,Orthodox,1995-11-30,6,1,0,,http://ufcstats.com/fighter-details/bad8ed7d714f1493,Bantamweight,7,0.8571428571428571
Ricky Glenn,2817,The Gladiator,182.88,155.0,177.8,Southpaw,1989-04-12,22,7,2,,http://ufcstats.com/fighter-details/814ff3018127e8fc,Lightweight,31,0.7096774193548387
Mark Godbeer,2816,The Hand Of,193.04,240.0,195.58,Orthodox,1983-11-22,13,4,0,,http://ufcstats.com/fighter-details/ad56b3f00ca38dfd,Heavyweight,17,0.7647058823529411
Hannah Goldy,2808,24K,162.56,115.0,154.94,Orthodox,1992-05-18,6,4,0,,http://ufcstats.com/fighter-details/26e3f3928b1891d9,Flyweight,10,0.6
Denise Gomes,2806,Dee,157.48000000000002,115.0,160.02,Orthodox,1999-12-30,8,2,0,,http://ufcstats.com/fighter-details/cffb87059e645bd1,Flyweight,10,0.8
Joey Gomez,2800,KO King,177.8,135.0,185.42,Orthodox,1986-07-21,6,2,0,,http://ufcstats.com/fighter-details/0778f94eb5d588a5,Bantamweight,8,0.75
Luis Gomez,2799,Tiger Junior,170.18,145.0,172.72,Orthodox,1995-01-28,4,1,0,,http://ufcstats.com/fighter-details/513e84bfe65ff509,Featherweight,5,0.8
Silvana Gomez Juarez,2796,La Malvada,160.02,115.0,165.1,Orthodox,1984-12-06,11,5,0,,http://ufcstats.com/fighter-details/b4880ef2f838d4e1,Flyweight,16,0.6875
Takanori Gomi,2795,The Fireball Kid,170.18,155.0,177.8,Southpaw,1978-09-22,35,14,0,1.0,http://ufcstats.com/fighter-details/3be081c29bf734d9,Lightweight,49,0.7142857142857143
William Gomis,2794,Jaguar,182.88,145.0,185.42,Southpaw,1997-06-13,13,2,0,,http://ufcstats.com/fighter-details/e1d40e8782d80bc2,Featherweight,15,0.8666666666666667
Gabriel Gonzaga,2792,Napao,187.96,242.0,193.04,Orthodox,1979-05-18,17,11,0,,http://ufcstats.com/fighter-details/270b89c00ef0c55c,Heavyweight,28,0.6071428571428571
Justin Gonzales,2791,J-Train,175.26,145.0,182.88,Orthodox,1991-04-28,6,0,0,,http://ufcstats.com/fighter-details/94535f76f43b466a,Featherweight,6,1.0
Fernando Gonzalez,2790,The Menifee Maniac,175.26,170.0,172.72,Southpaw,1983-09-15,26,14,0,,http://ufcstats.com/fighter-details/be5aab761c40ef35,Welterweight,40,0.65
Jason Gonzalez,2786,Nicoya,187.96,155.0,187.96,Southpaw,1990-02-28,11,5,0,,http://ufcstats.com/fighter-details/e45cfa47f504033a,Lightweight,16,0.6875
Jorge Gonzalez,2784,Street,187.96,205.0,193.04,Orthodox,1984-02-29,16,4,0,,http://ufcstats.com/fighter-details/ff175a137b395e2b,Light Heavyweight,20,0.8
Mikey Gonzalez,2783,Rolls,180.34,155.0,187.96,Orthodox,1985-08-13,7,2,0,,http://ufcstats.com/fighter-details/de47c33e48b0ce38,Lightweight,9,0.7777777777777778
Erick Gonzalez,2782,The Ghost Pepper,180.34,155.0,190.5,Orthodox,1992-01-20,14,8,0,,http://ufcstats.com/fighter-details/a2ccf35a88346a91,Lightweight,22,0.6363636363636364
Lyman Good,2779,Cyborg,182.88,170.0,187.96,Orthodox,1985-05-26,21,6,0,1.0,http://ufcstats.com/fighter-details/4e0692ad070976e4,Welterweight,27,0.7777777777777778
Jared Gooden,2778,NiteTrain,182.88,170.0,195.58,Orthodox,1993-12-05,22,9,0,,http://ufcstats.com/fighter-details/c730a0be691dc081,Welterweight,31,0.7096774193548387
Eddie Gordon,2774,Truck,182.88,185.0,193.04,Orthodox,1983-07-22,8,4,0,,http://ufcstats.com/fighter-details/8cad40a75e5c97f5,Middleweight,12,0.6666666666666666
Jared Gordon,2773,Flash,175.26,155.0,172.72,Orthodox,1988-09-06,19,6,0,1.0,http://ufcstats.com/fighter-details/7026eca45f65377b,Lightweight,25,0.76
Malcolm Gordon,2771,X,170.18,125.0,180.34,Switch,1990-05-19,14,7,0,,http://ufcstats.com/fighter-details/dee294e9717012c2,Flyweight,21,0.6666666666666666
Tresean Gore,2770,Mr. Vicious,182.88,185.0,190.5,Switch,1994-06-21,5,2,0,,http://ufcstats.com/fighter-details/147e70aa6cc48cfc,Middleweight,7,0.7142857142857143
Alex Gorgees,2769,Hitman,187.96,155.0,187.96,Switch,1995-08-11,6,1,0,,http://ufcstats.com/fighter-details/803bebcfb6d6f506,Lightweight,7,0.8571428571428571
Themba Gorimbo,2768,The Answer,185.42,170.0,195.58,Orthodox,1991-01-23,11,4,0,,http://ufcstats.com/fighter-details/40f3cb27fc7305a1,Welterweight,15,0.7333333333333333
Jonathan Goulet,2765,The Road Warrior,182.88,170.0,185.42,Orthodox,1979-07-13,23,12,0,1.0,http://ufcstats.com/fighter-details/fb1538b46877a695,Welterweight,35,0.6571428571428571
Thibault Gouti,2764,GT,177.8,155.0,182.88,Orthodox,1987-02-27,12,5,0,,http://ufcstats.com/fighter-details/51e86de150ee8be6,Lightweight,17,0.7058823529411765
Damian Grabowski,2759,The Polish Pitbull,185.42,241.0,190.5,Orthodox,1980-05-12,20,5,0,,http://ufcstats.com/fighter-details/3f11b5d4bd76a6d9,Heavyweight,25,0.8
Bogdan Grad,2742,The Unleashed,172.72,155.0,177.8,Orthodox,1995-09-28,11,2,0,,http://ufcstats.com/fighter-details/fb37795db81f93f3,Lightweight,13,0.8461538461538461
Miranda Granger,2739,Danger,170.18,115.0,172.72,Orthodox,1992-04-13,7,3,0,,http://ufcstats.com/fighter-details/7559395ad833c074,Flyweight,10,0.7
